Data,open,high,low,close,vol,avg_temp_leba,short_size
2016-09-07,44.19,44.25,43.15,43.2,127058.0,18.1,0.0
2016-09-08,43.2,43.2,41.42,41.85,221970.0,20.2,0.0
2016-09-09,41.85,42.9,41.85,42.5,265868.0,21.8,0.0
2016-09-12,42.09,42.1,39.6,40.25,276529.0,22.7,0.0
2016-09-13,40.4,43.4,40.4,42.36,145091.0,22.1,0.0
2016-09-14,42.36,43.19,41.6,41.93,52453.0,18.8,0.0
2016-09-15,41.65,41.7,40.25,40.6,124721.0,16.7,0.0
2016-09-16,41.1,42.75,40.34,41.5,305402.0,18.0,0.0
2016-09-19,41.5,42.44,41.35,41.6,94195.0,12.7,0.0
2016-09-20,41.5,42.0,40.63,42.0,122513.0,11.4,0.0
2016-09-21,42.0,42.2,41.11,41.4,65675.0,11.7,0.0
2016-09-22,41.4,41.59,40.54,40.56,109728.0,11.6,0.0
2016-09-23,41.0,41.0,39.1,39.2,288110.0,11.6,0.0
2016-09-26,39.2,39.89,38.25,38.92,114051.0,11.0,0.0
2016-09-27,39.2,39.72,38.6,39.26,91832.0,10.7,0.0
2016-09-28,39.61,39.83,39.0,39.09,47612.0,11.6,0.0
2016-09-29,39.45,40.49,38.26,39.74,1214846.0,18.6,0.0
2016-09-30,39.84,40.6,39.12,39.86,176296.0,17.9,0.0
2016-10-03,40.65,41.3,40.2,40.7,88801.0,14.8,0.0
2016-10-04,41.0,41.0,39.6,39.65,158935.0,11.6,0.0
2016-10-05,39.9,40.1,39.07,39.6,477149.0,6.9,0.0
2016-10-06,40.05,40.05,38.3,38.68,148144.0,7.2,0.0
2016-10-07,38.88,40.27,38.88,39.0,151541.0,6.1,0.0
2016-10-10,39.5,39.79,39.4,39.5,56035.0,7.7,0.0
2016-10-11,39.55,39.99,39.5,39.5,83815.0,6.4,0.0
2016-10-12,39.5,39.65,39.3,39.65,92195.0,6.9,0.0
2016-10-13,39.65,39.89,38.7,38.91,76306.0,6.4,0.0
2016-10-14,38.9,39.74,38.9,39.61,63611.0,5.9,0.0
2016-10-17,39.0,39.65,38.96,39.6,77545.0,6.5,0.0
2016-10-18,39.7,39.94,39.5,39.75,71083.0,7.3,0.0
2016-10-19,39.4,39.6,39.4,39.51,158630.0,8.3,0.0
2016-10-20,39.51,39.82,39.02,39.77,277484.0,8.1,0.0
2016-10-21,39.95,39.99,39.7,39.96,238832.0,6.7,0.0
2016-10-24,40.0,40.73,39.5,39.6,97114.0,9.5,0.0
2016-10-25,39.61,39.81,39.52,39.6,67843.0,10.6,0.0
2016-10-26,39.48,39.8,38.47,39.0,159904.0,5.7,0.0
2016-10-27,39.0,40.27,39.0,39.99,324315.0,5.4,0.0
2016-10-28,39.97,39.97,39.55,39.55,91067.0,7.1,0.0
2016-10-31,39.65,40.19,39.63,39.88,55068.0,7.1,0.0
2016-11-02,39.89,39.89,39.06,39.7,144217.0,6.7,0.0
2016-11-03,39.22,39.8,39.1,39.75,96483.0,3.7,0.0
2016-11-04,39.75,39.88,39.27,39.55,65564.0,3.8,0.0
2016-11-07,39.5,40.38,39.5,39.59,110750.0,4.5,0.0
2016-11-08,39.71,39.9,39.55,39.6,64097.0,1.5,0.0
2016-11-09,39.01,40.64,39.01,39.57,122150.0,1.0,0.0
2016-11-10,39.67,40.1,39.5,39.55,63570.0,1.2,0.0
2016-11-14,39.7,39.85,39.5,39.55,199410.0,2.3,0.0
2016-11-15,39.56,39.99,39.52,39.98,92062.0,0.9,0.0
2016-11-16,39.99,40.02,39.57,39.72,68951.0,3.6,0.0
2016-11-17,39.72,39.99,39.36,39.62,181973.0,6.6,0.0
2016-11-18,39.8,40.0,38.32,40.0,484682.0,6.7,0.0
2016-11-21,40.0,40.2,39.65,40.14,106809.0,8.7,0.0
2016-11-22,40.14,43.22,40.14,43.22,290333.0,5.4,0.0
2016-11-23,43.4,44.0,42.69,43.22,515528.0,4.4,0.0
2016-11-24,43.53,49.18,43.53,48.67,775553.0,3.3,0.0
2016-11-25,49.5,49.94,47.02,48.99,544751.0,0.7,0.0
2016-11-28,49.01,49.8,48.15,48.6,308702.0,-1.3,0.0
2016-11-29,48.6,49.0,47.62,48.25,395943.0,0.0,0.0
2016-11-30,48.28,48.64,47.5,47.71,266815.0,0.2,0.0
2016-12-01,48.06,50.88,47.66,50.25,605052.0,1.6,0.0
2016-12-02,50.88,54.0,50.08,51.66,500135.0,0.8,0.0
2016-12-05,52.3,53.7,52.3,53.68,218544.0,-0.2,0.0
2016-12-06,54.01,54.5,51.65,52.61,197753.0,0.4,0.0
2016-12-07,52.65,52.93,49.23,51.1,328904.0,-2.1,0.0
2016-12-08,51.35,52.44,49.37,52.27,283430.0,5.7,0.0
2016-12-09,52.99,53.0,50.5,51.51,212072.0,6.7,0.0
2016-12-12,51.8,52.0,50.82,51.8,165285.0,-0.4,0.0
2016-12-13,51.8,52.87,51.2,52.31,71525.0,-4.1,0.0
2016-12-14,52.5,53.66,51.75,52.5,165678.0,1.8,0.0
2016-12-15,53.0,53.44,52.0,52.98,101350.0,0.9,0.0
2016-12-16,53.0,53.19,51.02,51.66,242534.0,-3.1,0.0
